tournament,date,venue,club,group,round,cycle,court,point_cap,pair_a,pair_a_p1,pair_a_p2,pair_b,pair_b_p1,pair_b_p2,score_a,score_b
T11,2026-07-11,Tallink,Aliris,,8,1,C6,18,T11-02,P001,P012,T11-06,P087,P094,18,16
T11,2026-07-11,Tallink,Aliris,,9,1,C2,18,T11-01,P028,P021,T11-07,P022,P065,18,10
T11,2026-07-11,Tallink,Aliris,,9,1,C3,18,T11-03,P023,P009,T11-04,P039,P014,18,8
T11,2026-07-11,Tallink,Aliris,,9,1,C4,18,T11-05,P040,P005,T11-09,P096,P004,11,18
T11,2026-07-11,Tallink,Aliris,,9,1,C5,18,T11-06,P087,P094,T11-10,P076,P055,18,15
T11,2026-07-11,Tallink,Aliris,,9,1,C6,18,T11-02,P001,P012,T11-08,P095,P090,18,7
T11,2026-07-11,Tallink,Aliris,,10,1,C2,18,T11-01,P028,P021,T11-09,P096,P004,16,18
T11,2026-07-11,Tallink,Aliris,,10,1,C3,18,T11-02,P001,P012,T11-10,P076,P055,18,6
T11,2026-07-11,Tallink,Aliris,,10,1,C4,18,T11-04,P039,P014,T11-08,P095,P090,18,14
T11,2026-07-11,Tallink,Aliris,,10,1,C5,18,T11-05,P040,P005,T11-06,P087,P094,18,14
T11,2026-07-11,Tallink,Aliris,,10,1,C6,18,T11-03,P023,P009,T11-07,P022,P065,18,9
T11,2026-07-11,Tallink,Aliris,,11,1,C2,18,T11-04,P039,P014,T11-06,P087,P094,18,14
T11,2026-07-11,Tallink,Aliris,,11,1,C3,18,T11-01,P028,P021,T11-02,P001,P012,12,18
T11,2026-07-11,Tallink,Aliris,,11,1,C4,18,T11-07,P022,P065,T11-09,P096,P004,11,18
T11,2026-07-11,Tallink,Aliris,,11,1,C5,18,T11-08,P095,P090,T11-10,P076,P055,18,8
T11,2026-07-11,Tallink,Aliris,,11,1,C6,18,T11-03,P023,P009,T11-05,P040,P005,11,18
T12,2026-07-18,Tallink,Aliris,,1,1,C1,18,T12-01,P014,P097,T12-02,P028,P021,18,13
T12,2026-07-18,Tallink,Aliris,,1,1,C2,18,T12-03,P054,P012,T12-04,P001,P075,18,9
T12,2026-07-18,Tallink,Aliris,,1,1,C3,18,T12-07,P005,P040,T12-06,P023,P009,11,18
T12,2026-07-18,Tallink,Aliris,,1,1,C4,18,T12-05,P087,P090,T12-08,P016,P044,9,18
T12,2026-07-18,Tallink,Aliris,,1,1,C5,18,T12-09,P003,P098,T12-10,P020,P019,18,13
T12,2026-07-18,Tallink,Aliris,,2,1,C1,18,T12-01,P014,P097,T12-04,P001,P075,18,12
T12,2026-07-18,Tallink,Aliris,,2,1,C2,18,T12-03,P054,P012,T12-06,P023,P009,11,18
T12,2026-07-18,Tallink,Aliris,,2,1,C3,18,T12-05,P087,P090,T12-08,P016,P044,8,18
T12,2026-07-18,Tallink,Aliris,,2,1,C4,18,T12-07,P005,P040,T12-10,P020,P019,11,18
T12,2026-07-18,Tallink,Aliris,,2,1,C5,18,T12-09,P003,P098,T12-02,P028,P021,18,16
T12,2026-07-18,Tallink,Aliris,,3,1,C1,18,T12-01,P014,P097,T12-06,P023,P009,13,18
T12,2026-07-18,Tallink,Aliris,,3,1,C2,18,T12-03,P054,P012,T12-08,P016,P044,17,18
T12,2026-07-18,Tallink,Aliris,,3,1,C3,18,T12-05,P087,P090,T12-10,P020,P019,13,18
T12,2026-07-18,Tallink,Aliris,,3,1,C4,18,T12-07,P005,P040,T12-04,P001,P075,18,13
T12,2026-07-18,Tallink,Aliris,,3,1,C5,18,T12-09,P003,P098,T12-02,P028,P021,18,14
T12,2026-07-18,Tallink,Aliris,,4,1,C1,18,T12-01,P014,P097,T12-08,P016,P044,18,11
T12,2026-07-18,Tallink,Aliris,,4,1,C2,18,T12-03,P054,P012,T12-10,P020,P019,7,18
T12,2026-07-18,Tallink,Aliris,,4,1,C3,18,T12-05,P087,P090,T12-06,P023,P009,7,18
T12,2026-07-18,Tallink,Aliris,,4,1,C4,18,T12-07,P005,P040,T12-02,P028,P021,18,17
T12,2026-07-18,Tallink,Aliris,,4,1,C5,18,T12-09,P003,P098,T12-04,P001,P075,18,10
T12,2026-07-18,Tallink,Aliris,,5,1,C1,18,T12-01,P014,P097,T12-10,P020,P019,18,10
T12,2026-07-18,Tallink,Aliris,,5,1,C2,18,T12-03,P054,P012,T12-08,P016,P044,15,18
T12,2026-07-18,Tallink,Aliris,,5,1,C3,18,T12-05,P087,P090,T12-02,P028,P021,12,18
T12,2026-07-18,Tallink,Aliris,,5,1,C4,18,T12-07,P005,P040,T12-04,P001,P075,18,16
T12,2026-07-18,Tallink,Aliris,,5,1,C5,18,T12-09,P003,P098,T12-06,P023,P009,11,18
T12,2026-07-18,Tallink,Aliris,,6,1,C1,18,T12-01,P014,P097,T12-10,P020,P019,18,11
T12,2026-07-18,Tallink,Aliris,,6,1,C2,18,T12-03,P054,P012,T12-02,P028,P021,16,18
T12,2026-07-18,Tallink,Aliris,,6,1,C3,18,T12-05,P087,P090,T12-04,P001,P075,4,18
T12,2026-07-18,Tallink,Aliris,,6,1,C4,18,T12-07,P005,P040,T12-06,P023,P009,9,18
T12,2026-07-18,Tallink,Aliris,,6,1,C5,18,T12-09,P003,P098,T12-08,P016,P044,18,12
T12,2026-07-18,Tallink,Aliris,,7,1,C1,18,T12-02,P028,P021,T12-04,P001,P075,13,18
T12,2026-07-18,Tallink,Aliris,,7,1,C2,18,T12-01,P014,P097,T12-03,P054,P012,18,8
T12,2026-07-18,Tallink,Aliris,,7,1,C3,18,T12-05,P087,P090,T12-07,P005,P040,12,18
T12,2026-07-18,Tallink,Aliris,,7,1,C4,18,T12-06,P023,P009,T12-08,P016,P044,14,18
T12,2026-07-18,Tallink,Aliris,,7,1,C5,18,T12-09,P003,P098,T12-10,P020,P019,18,14
T12,2026-07-18,Tallink,Aliris,,8,1,C1,18,T12-02,P028,P021,T12-06,P023,P009,15,18
T12,2026-07-18,Tallink,Aliris,,8,1,C2,18,T12-01,P014,P097,T12-05,P087,P090,18,2
T12,2026-07-18,Tallink,Aliris,,8,1,C3,18,T12-03,P054,P012,T12-09,P003,P098,12,18
T12,2026-07-18,Tallink,Aliris,,8,1,C4,18,T12-04,P001,P075,T12-10,P020,P019,16,18
T12,2026-07-18,Tallink,Aliris,,8,1,C5,18,T12-07,P005,P040,T12-08,P016,P044,18,17
T12,2026-07-18,Tallink,Aliris,,9,1,C1,18,T12-02,P028,P021,T12-08,P016,P044,18,8
T12,2026-07-18,Tallink,Aliris,,9,1,C2,18,T12-01,P014,P097,T12-07,P005,P040,14,18
T12,2026-07-18,Tallink,Aliris,,9,1,C3,18,T12-03,P054,P012,T12-04,P001,P075,17,18
T12,2026-07-18,Tallink,Aliris,,9,1,C4,18,T12-05,P087,P090,T12-09,P003,P098,6,18
T12,2026-07-18,Tallink,Aliris,,9,1,C5,18,T12-06,P023,P009,T12-10,P020,P019,18,17
T12,2026-07-18,Tallink,Aliris,,10,1,C1,18,T12-03,P054,P012,T12-07,P005,P040,13,18
T12,2026-07-18,Tallink,Aliris,,10,1,C2,18,T12-01,P014,P097,T12-09,P003,P098,18,11
T12,2026-07-18,Tallink,Aliris,,10,1,C3,18,T12-02,P028,P021,T12-10,P020,P019,6,18
T12,2026-07-18,Tallink,Aliris,,10,1,C4,18,T12-04,P001,P075,T12-08,P016,P044,18,15
T12,2026-07-18,Tallink,Aliris,,10,1,C5,18,T12-05,P087,P090,T12-06,P023,P009,8,18
T12,2026-07-18,Tallink,Aliris,,11,1,C1,18,T12-03,P054,P012,T12-05,P087,P090,18,13
T12,2026-07-18,Tallink,Aliris,,11,1,C2,18,T12-04,P001,P075,T12-06,P023,P009,9,18
T12,2026-07-18,Tallink,Aliris,,11,1,C3,18,T12-01,P014,P097,T12-02,P028,P021,18,10
T12,2026-07-18,Tallink,Aliris,,11,1,C4,18,T12-07,P005,P040,T12-09,P003,P098,18,10
T12,2026-07-18,Tallink,Aliris,,11,1,C5,18,T12-08,P016,P044,T12-10,P020,P019,12,18
T13,2026-07-25,Tallink,Aliris,,1,1,C1,18,T13-11,P064,P100,T13-12,P008,P034,14,18
T13,2026-07-25,Tallink,Aliris,,1,1,C2,18,T13-01,P014,P097,T13-02,P015,P038,18,17
T13,2026-07-25,Tallink,Aliris,,1,1,C3,18,T13-03,P023,P009,T13-04,P028,P021,18,14
T13,2026-07-25,Tallink,Aliris,,1,1,C4,18,T13-05,P005,P040,T13-06,P039,P092,14,18
T13,2026-07-25,Tallink,Aliris,,1,1,C5,18,T13-07,P011,P101,T13-08,P001,P099,18,15
T13,2026-07-25,Tallink,Aliris,,1,1,C6,18,T13-09,P025,P074,T13-10,P035,P004,13,18
T13,2026-07-25,Tallink,Aliris,,2,1,C1,18,T13-11,P064,P100,T13-02,P015,P038,6,18
T13,2026-07-25,Tallink,Aliris,,2,1,C2,18,T13-01,P014,P097,T13-04,P028,P021,18,12
T13,2026-07-25,Tallink,Aliris,,2,1,C3,18,T13-03,P023,P009,T13-06,P039,P092,18,13
T13,2026-07-25,Tallink,Aliris,,2,1,C4,18,T13-05,P005,P040,T13-08,P001,P099,8,18
T13,2026-07-25,Tallink,Aliris,,2,1,C5,18,T13-07,P011,P101,T13-10,P035,P004,14,18
T13,2026-07-25,Tallink,Aliris,,2,1,C6,18,T13-09,P025,P074,T13-12,P008,P034,11,18
T13,2026-07-25,Tallink,Aliris,,3,1,C1,18,T13-11,P064,P100,T13-04,P028,P021,4,18
T13,2026-07-25,Tallink,Aliris,,3,1,C2,18,T13-01,P014,P097,T13-06,P039,P092,18,15
T13,2026-07-25,Tallink,Aliris,,3,1,C3,18,T13-03,P023,P009,T13-08,P001,P099,17,18
T13,2026-07-25,Tallink,Aliris,,3,1,C4,18,T13-05,P005,P040,T13-10,P035,P004,15,18
T13,2026-07-25,Tallink,Aliris,,3,1,C5,18,T13-07,P011,P101,T13-12,P008,P034,18,12
T13,2026-07-25,Tallink,Aliris,,3,1,C6,18,T13-09,P025,P074,T13-02,P015,P038,13,18
T13,2026-07-25,Tallink,Aliris,,4,1,C1,18,T13-11,P064,P100,T13-06,P039,P092,12,18
T13,2026-07-25,Tallink,Aliris,,4,1,C2,18,T13-01,P014,P097,T13-08,P001,P099,18,17
T13,2026-07-25,Tallink,Aliris,,4,1,C3,18,T13-03,P023,P009,T13-10,P035,P004,18,14
T13,2026-07-25,Tallink,Aliris,,4,1,C4,18,T13-05,P005,P040,T13-12,P008,P034,18,17
T13,2026-07-25,Tallink,Aliris,,4,1,C5,18,T13-07,P011,P101,T13-02,P015,P038,10,18
T13,2026-07-25,Tallink,Aliris,,4,1,C6,18,T13-09,P025,P074,T13-04,P028,P021,13,18
T13,2026-07-25,Tallink,Aliris,,5,1,C1,18,T13-11,P064,P100,T13-08,P001,P099,12,18
T13,2026-07-25,Tallink,Aliris,,5,1,C2,18,T13-01,P014,P097,T13-10,P035,P004,18,7
T13,2026-07-25,Tallink,Aliris,,5,1,C3,18,T13-03,P023,P009,T13-12,P008,P034,18,9
T13,2026-07-25,Tallink,Aliris,,5,1,C4,18,T13-05,P005,P040,T13-02,P015,P038,5,18
T13,2026-07-25,Tallink,Aliris,,5,1,C5,18,T13-07,P011,P101,T13-04,P028,P021,15,18
T13,2026-07-25,Tallink,Aliris,,5,1,C6,18,T13-09,P025,P074,T13-06,P039,P092,7,18
T13,2026-07-25,Tallink,Aliris,,6,1,C1,18,T13-11,P064,P100,T13-10,P035,P004,13,18
T13,2026-07-25,Tallink,Aliris,,6,1,C2,18,T13-01,P014,P097,T13-12,P008,P034,18,12
T13,2026-07-25,Tallink,Aliris,,6,1,C3,18,T13-03,P023,P009,T13-02,P015,P038,10,18
T13,2026-07-25,Tallink,Aliris,,6,1,C4,18,T13-05,P005,P040,T13-04,P028,P021,13,18
T13,2026-07-25,Tallink,Aliris,,6,1,C5,18,T13-07,P011,P101,T13-06,P039,P092,11,18
T13,2026-07-25,Tallink,Aliris,,6,1,C6,18,T13-09,P025,P074,T13-08,P001,P099,16,18
T13,2026-07-25,Tallink,Aliris,,7,1,C1,18,T13-10,P035,P004,T13-12,P008,P034,18,5
T13,2026-07-25,Tallink,Aliris,,7,1,C2,18,T13-01,P014,P097,T13-03,P023,P009,18,11
T13,2026-07-25,Tallink,Aliris,,7,1,C3,18,T13-02,P015,P038,T13-04,P028,P021,18,8
T13,2026-07-25,Tallink,Aliris,,7,1,C4,18,T13-05,P005,P040,T13-07,P011,P101,7,18
T13,2026-07-25,Tallink,Aliris,,7,1,C5,18,T13-06,P039,P092,T13-08,P001,P099,14,18
T13,2026-07-25,Tallink,Aliris,,7,1,C6,18,T13-09,P025,P074,T13-11,P064,P100,14,18
T13,2026-07-25,Tallink,Aliris,,8,1,C1,18,T13-08,P001,P099,T13-12,P008,P034,18,11
T13,2026-07-25,Tallink,Aliris,,8,1,C2,18,T13-01,P014,P097,T13-05,P005,P040,18,14
T13,2026-07-25,Tallink,Aliris,,8,1,C3,18,T13-02,P015,P038,T13-06,P039,P092,18,15
T13,2026-07-25,Tallink,Aliris,,8,1,C4,18,T13-03,P023,P009,T13-09,P025,P074,18,11
T13,2026-07-25,Tallink,Aliris,,8,1,C5,18,T13-04,P028,P021,T13-10,P035,P004,18,17
T13,2026-07-25,Tallink,Aliris,,8,1,C6,18,T13-07,P011,P101,T13-11,P064,P100,18,13
T13,2026-07-25,Tallink,Aliris,,9,1,C1,18,T13-06,P039,P092,T13-10,P035,P004,12,18
T13,2026-07-25,Tallink,Aliris,,9,1,C2,18,T13-01,P014,P097,T13-07,P011,P101,18,13
T13,2026-07-25,Tallink,Aliris,,9,1,C3,18,T13-02,P015,P038,T13-08,P001,P099,18,6
T13,2026-07-25,Tallink,Aliris,,9,1,C4,18,T13-03,P023,P009,T13-11,P064,P100,18,8
T13,2026-07-25,Tallink,Aliris,,9,1,C5,18,T13-04,P028,P021,T13-12,P008,P034,18,9
T13,2026-07-25,Tallink,Aliris,,9,1,C6,18,T13-05,P005,P040,T13-09,P025,P074,18,14
T13,2026-07-25,Tallink,Aliris,,10,1,C1,18,T13-06,P039,P092,T13-12,P008,P034,18,14
T13,2026-07-25,Tallink,Aliris,,10,1,C2,18,T13-01,P014,P097,T13-09,P025,P074,18,13
T13,2026-07-25,Tallink,Aliris,,10,1,C3,18,T13-02,P015,P038,T13-10,P035,P004,18,10
T13,2026-07-25,Tallink,Aliris,,10,1,C4,18,T13-03,P023,P009,T13-07,P011,P101,16,18
T13,2026-07-25,Tallink,Aliris,,10,1,C5,18,T13-04,P028,P021,T13-08,P001,P099,17,18
T13,2026-07-25,Tallink,Aliris,,10,1,C6,18,T13-05,P005,P040,T13-11,P064,P100,18,6
T13,2026-07-25,Tallink,Aliris,,11,1,C1,18,T13-08,P001,P099,T13-10,P035,P004,18,13
T13,2026-07-25,Tallink,Aliris,,11,1,C2,18,T13-01,P014,P097,T13-11,P064,P100,16,18
T13,2026-07-25,Tallink,Aliris,,11,1,C3,18,T13-02,P015,P038,T13-12,P008,P034,18,9
T13,2026-07-25,Tallink,Aliris,,11,1,C4,18,T13-03,P023,P009,T13-05,P005,P040,13,18
T13,2026-07-25,Tallink,Aliris,,11,1,C5,18,T13-04,P028,P021,T13-06,P039,P092,18,8
T13,2026-07-25,Tallink,Aliris,,11,1,C6,18,T13-07,P011,P101,T13-09,P025,P074,16,18
T14,2026-08-01,Tallink,Aliris,,1,1,C2,18,T14-01,P041,P035,T14-02,P039,P036,18,9
T14,2026-08-01,Tallink,Aliris,,1,1,C3,18,T14-03,P076,P044,T14-04,P010,P103,15,18
T14,2026-08-01,Tallink,Aliris,,1,1,C4,18,T14-05,P023,P077,T14-06,P002,P018,18,17
T14,2026-08-01,Tallink,Aliris,,1,1,C5,18,T14-07,P001,P007,T14-08,P093,P019,8,18
T14,2026-08-01,Tallink,Aliris,,1,1,C6,18,T14-09,P102,P066,T14-10,P005,P040,18,17
T14,2026-08-01,Tallink,Aliris,,1,1,C7,18,T14-11,P054,P012,T14-12,P064,P100,18,10
T14,2026-08-01,Tallink,Aliris,,2,1,C2,18,T14-01,P041,P035,T14-04,P010,P103,18,9
T14,2026-08-01,Tallink,Aliris,,2,1,C3,18,T14-03,P076,P044,T14-06,P002,P018,14,18
T14,2026-08-01,Tallink,Aliris,,2,1,C4,18,T14-05,P023,P077,T14-08,P093,P019,18,15
T14,2026-08-01,Tallink,Aliris,,2,1,C5,18,T14-07,P001,P007,T14-10,P005,P040,18,16
T14,2026-08-01,Tallink,Aliris,,2,1,C6,18,T14-09,P102,P066,T14-12,P064,P100,18,7
T14,2026-08-01,Tallink,Aliris,,2,1,C7,18,T14-11,P054,P012,T14-02,P039,P036,18,15
T14,2026-08-01,Tallink,Aliris,,3,1,C2,18,T14-01,P041,P035,T14-06,P002,P018,18,17
T14,2026-08-01,Tallink,Aliris,,3,1,C3,18,T14-03,P076,P044,T14-08,P093,P019,7,18
T14,2026-08-01,Tallink,Aliris,,3,1,C4,18,T14-05,P023,P077,T14-10,P005,P040,15,18
T14,2026-08-01,Tallink,Aliris,,3,1,C5,18,T14-07,P001,P007,T14-12,P064,P100,18,10
T14,2026-08-01,Tallink,Aliris,,3,1,C6,18,T14-09,P102,P066,T14-02,P039,P036,12,18
T14,2026-08-01,Tallink,Aliris,,3,1,C7,18,T14-11,P054,P012,T14-04,P010,P103,6,18
T14,2026-08-01,Tallink,Aliris,,4,1,C2,18,T14-01,P041,P035,T14-08,P093,P019,17,18
T14,2026-08-01,Tallink,Aliris,,4,1,C3,18,T14-03,P076,P044,T14-10,P005,P040,18,16
T14,2026-08-01,Tallink,Aliris,,4,1,C4,18,T14-05,P023,P077,T14-12,P064,P100,18,7
T14,2026-08-01,Tallink,Aliris,,4,1,C5,18,T14-07,P001,P007,T14-02,P039,P036,18,16
T14,2026-08-01,Tallink,Aliris,,4,1,C6,18,T14-09,P102,P066,T14-04,P010,P103,18,14
T14,2026-08-01,Tallink,Aliris,,4,1,C7,18,T14-11,P054,P012,T14-06,P002,P018,4,18
T14,2026-08-01,Tallink,Aliris,,5,1,C2,18,T14-01,P041,P035,T14-10,P005,P040,18,13
T14,2026-08-01,Tallink,Aliris,,5,1,C3,18,T14-03,P076,P044,T14-12,P064,P100,18,13
T14,2026-08-01,Tallink,Aliris,,5,1,C4,18,T14-05,P023,P077,T14-02,P039,P036,14,18
T14,2026-08-01,Tallink,Aliris,,5,1,C5,18,T14-07,P001,P007,T14-04,P010,P103,18,9
T14,2026-08-01,Tallink,Aliris,,5,1,C6,18,T14-09,P102,P066,T14-06,P002,P018,12,18
T14,2026-08-01,Tallink,Aliris,,5,1,C7,18,T14-11,P054,P012,T14-08,P093,P019,11,18
T14,2026-08-01,Tallink,Aliris,,6,1,C2,18,T14-01,P041,P035,T14-12,P064,P100,18,10
T14,2026-08-01,Tallink,Aliris,,6,1,C3,18,T14-03,P076,P044,T14-02,P039,P036,18,15
T14,2026-08-01,Tallink,Aliris,,6,1,C4,18,T14-05,P023,P077,T14-04,P010,P103,18,16
T14,2026-08-01,Tallink,Aliris,,6,1,C5,18,T14-07,P001,P007,T14-06,P002,P018,18,17
T14,2026-08-01,Tallink,Aliris,,6,1,C6,18,T14-11,P054,P012,T14-10,P005,P040,18,11
T14,2026-08-01,Tallink,Aliris,,6,1,C7,18,T14-09,P102,P066,T14-08,P093,P019,18,16
T14,2026-08-01,Tallink,Aliris,,7,1,C2,18,T14-01,P041,P035,T14-03,P076,P044,18,11
T14,2026-08-01,Tallink,Aliris,,7,1,C3,18,T14-02,P039,P036,T14-04,P010,P103,14,18
T14,2026-08-01,Tallink,Aliris,,7,1,C4,18,T14-05,P023,P077,T14-07,P001,P007,8,18
T14,2026-08-01,Tallink,Aliris,,7,1,C5,18,T14-10,P005,P040,T14-12,P064,P100,18,16
T14,2026-08-01,Tallink,Aliris,,7,1,C6,18,T14-09,P102,P066,T14-11,P054,P012,15,18
T14,2026-08-01,Tallink,Aliris,,7,1,C7,18,T14-06,P002,P018,T14-08,P093,P019,16,18
T14,2026-08-01,Tallink,Aliris,,8,1,C2,18,T14-02,P039,P036,T14-06,P002,P018,15,18
T14,2026-08-01,Tallink,Aliris,,8,1,C3,18,T14-03,P076,P044,T14-09,P102,P066,15,18
T14,2026-08-01,Tallink,Aliris,,8,1,C4,18,T14-08,P093,P019,T14-12,P064,P100,18,16
T14,2026-08-01,Tallink,Aliris,,8,1,C5,18,T14-04,P010,P103,T14-10,P005,P040,18,16
T14,2026-08-01,Tallink,Aliris,,8,1,C6,18,T14-07,P001,P007,T14-11,P054,P012,14,18
T14,2026-08-01,Tallink,Aliris,,8,1,C7,18,T14-01,P041,P035,T14-05,P023,P077,18,11
T14,2026-08-01,Tallink,Aliris,,9,1,C2,18,T14-06,P002,P018,T14-10,P005,P040,18,6
T14,2026-08-01,Tallink,Aliris,,9,1,C3,18,T14-02,P039,P036,T14-08,P093,P019,17,18
T14,2026-08-01,Tallink,Aliris,,9,1,C4,18,T14-03,P076,P044,T14-11,P054,P012,13,18
T14,2026-08-01,Tallink,Aliris,,9,1,C5,18,T14-04,P010,P103,T14-12,P064,P100,18,9
T14,2026-08-01,Tallink,Aliris,,9,1,C6,18,T14-05,P023,P077,T14-09,P102,P066,17,18
T14,2026-08-01,Tallink,Aliris,,9,1,C7,18,T14-01,P041,P035,T14-07,P001,P007,18,16
T14,2026-08-01,Tallink,Aliris,,10,1,C2,18,T14-01,P041,P035,T14-09,P102,P066,16,18
T14,2026-08-01,Tallink,Aliris,,10,1,C3,18,T14-02,P039,P036,T14-10,P005,P040,18,7
T14,2026-08-01,Tallink,Aliris,,10,1,C4,18,T14-03,P076,P044,T14-07,P001,P007,12,18
T14,2026-08-01,Tallink,Aliris,,10,1,C5,18,T14-04,P010,P103,T14-08,P093,P019,18,8
T14,2026-08-01,Tallink,Aliris,,10,1,C6,18,T14-05,P023,P077,T14-11,P054,P012,18,15
T14,2026-08-01,Tallink,Aliris,,10,1,C7,18,T14-06,P002,P018,T14-12,P064,P100,18,7
T14,2026-08-01,Tallink,Aliris,,11,1,C2,18,T14-01,P041,P035,T14-11,P054,P012,18,13
T14,2026-08-01,Tallink,Aliris,,11,1,C3,18,T14-02,P039,P036,T14-12,P064,P100,18,10
T14,2026-08-01,Tallink,Aliris,,11,1,C4,18,T14-03,P076,P044,T14-05,P023,P077,16,18
T14,2026-08-01,Tallink,Aliris,,11,1,C5,18,T14-04,P010,P103,T14-06,P002,P018,8,18
T14,2026-08-01,Tallink,Aliris,,11,1,C6,18,T14-07,P001,P007,T14-09,P102,P066,18,9
T14,2026-08-01,Tallink,Aliris,,11,1,C7,18,T14-08,P093,P019,T14-10,P005,P040,13,18
T15,2026-08-08,Tallink,Aliris,,1,1,C2,18,T15-01,P065,P104,T15-02,P050,P105,12,18
T15,2026-08-08,Tallink,Aliris,,1,1,C3,18,T15-03,P001,P043,T15-04,P044,P094,12,18
T15,2026-08-08,Tallink,Aliris,,1,1,C4,18,T15-05,P023,P009,T15-06,P002,P099,18,15
T15,2026-08-08,Tallink,Aliris,,1,1,C5,18,T15-07,P039,P003,T15-08,P016,P037,18,11
T15,2026-08-08,Tallink,Aliris,,1,1,C6,18,T15-09,P005,P040,T15-10,P045,P090,18,12
T15,2026-08-08,Tallink,Aliris,,1,1,C7,18,T15-11,P004,P069,T15-12,P017,P035,18,13
T15,2026-08-08,Tallink,Aliris,,1,1,C8,18,T15-13,P064,P100,T15-14,P055,P046,18,3
T15,2026-08-08,Tallink,Aliris,,2,1,C2,18,T15-01,P065,P104,T15-04,P044,P094,18,15
T15,2026-08-08,Tallink,Aliris,,2,1,C3,18,T15-03,P001,P043,T15-06,P002,P099,18,8
T15,2026-08-08,Tallink,Aliris,,2,1,C4,18,T15-05,P023,P009,T15-08,P016,P037,18,12
T15,2026-08-08,Tallink,Aliris,,2,1,C5,18,T15-07,P039,P003,T15-13,P064,P100,18,13
T15,2026-08-08,Tallink,Aliris,,2,1,C6,18,T15-09,P005,P040,T15-14,P055,P046,18,11
T15,2026-08-08,Tallink,Aliris,,2,1,C7,18,T15-11,P004,P069,T15-02,P050,P105,7,18
T15,2026-08-08,Tallink,Aliris,,2,1,C8,18,T15-12,P017,P035,T15-10,P045,P090,18,14
T15,2026-08-08,Tallink,Aliris,,3,1,C2,18,T15-01,P065,P104,T15-06,P002,P099,18,11
T15,2026-08-08,Tallink,Aliris,,3,1,C3,18,T15-03,P001,P043,T15-08,P016,P037,18,12
T15,2026-08-08,Tallink,Aliris,,3,1,C4,18,T15-05,P023,P009,T15-10,P045,P090,18,14
T15,2026-08-08,Tallink,Aliris,,3,1,C5,18,T15-07,P039,P003,T15-12,P017,P035,18,13
T15,2026-08-08,Tallink,Aliris,,3,1,C6,18,T15-09,P005,P040,T15-02,P050,P105,15,18
T15,2026-08-08,Tallink,Aliris,,3,1,C7,18,T15-11,P004,P069,T15-04,P044,P094,8,18
T15,2026-08-08,Tallink,Aliris,,3,1,C8,18,T15-13,P064,P100,T15-14,P055,P046,18,5
T15,2026-08-08,Tallink,Aliris,,4,1,C2,18,T15-01,P065,P104,T15-08,P016,P037,18,11
T15,2026-08-08,Tallink,Aliris,,4,1,C3,18,T15-03,P001,P043,T15-14,P055,P046,18,12
T15,2026-08-08,Tallink,Aliris,,4,1,C4,18,T15-05,P023,P009,T15-13,P064,P100,18,11
T15,2026-08-08,Tallink,Aliris,,4,1,C5,18,T15-07,P039,P003,T15-02,P050,P105,14,18
T15,2026-08-08,Tallink,Aliris,,4,1,C6,18,T15-09,P005,P040,T15-04,P044,P094,18,17
T15,2026-08-08,Tallink,Aliris,,4,1,C7,18,T15-11,P004,P069,T15-10,P045,P090,12,18
T15,2026-08-08,Tallink,Aliris,,4,1,C8,18,T15-06,P002,P099,T15-12,P017,P035,18,8
T15,2026-08-08,Tallink,Aliris,,5,1,C2,18,T15-01,P065,P104,T15-10,P045,P090,18,12
T15,2026-08-08,Tallink,Aliris,,5,1,C3,18,T15-03,P001,P043,T15-12,P017,P035,18,10
T15,2026-08-08,Tallink,Aliris,,5,1,C4,18,T15-05,P023,P009,T15-02,P050,P105,14,18
T15,2026-08-08,Tallink,Aliris,,5,1,C5,18,T15-07,P039,P003,T15-04,P044,P094,18,10
T15,2026-08-08,Tallink,Aliris,,5,1,C6,18,T15-09,P005,P040,T15-06,P002,P099,18,9
T15,2026-08-08,Tallink,Aliris,,5,1,C7,18,T15-11,P004,P069,T15-14,P055,P046,18,8
T15,2026-08-08,Tallink,Aliris,,5,1,C8,18,T15-08,P016,P037,T15-13,P064,P100,18,7
T15,2026-08-08,Tallink,Aliris,,6,1,C2,18,T15-01,P065,P104,T15-12,P017,P035,18,9
T15,2026-08-08,Tallink,Aliris,,6,1,C3,18,T15-03,P001,P043,T15-02,P050,P105,13,18
T15,2026-08-08,Tallink,Aliris,,6,1,C4,18,T15-05,P023,P009,T15-04,P044,P094,16,18
T15,2026-08-08,Tallink,Aliris,,6,1,C5,18,T15-07,P039,P003,T15-06,P002,P099,11,18
T15,2026-08-08,Tallink,Aliris,,6,1,C6,18,T15-09,P005,P040,T15-08,P016,P037,18,17
T15,2026-08-08,Tallink,Aliris,,6,1,C7,18,T15-11,P004,P069,T15-13,P064,P100,18,17
T15,2026-08-08,Tallink,Aliris,,6,1,C8,18,T15-10,P045,P090,T15-14,P055,P046,18,10
T15,2026-08-08,Tallink,Aliris,,7,1,C2,18,T15-01,P065,P104,T15-03,P001,P043,18,11
T15,2026-08-08,Tallink,Aliris,,7,1,C3,18,T15-02,P050,P105,T15-04,P044,P094,18,12
T15,2026-08-08,Tallink,Aliris,,7,1,C4,18,T15-05,P023,P009,T15-07,P039,P003,18,13
